,data_index,created_at,post_id,user_id,user_name,screen_name,user_location,profile_url,profile_description,quote_count,reply_count,retweet_count,favorite_count,lang,followers_count,verified,friends_count,listed_count,statuses_count,profile_created_at,profile_image_url,media_url,retweeted_media_url,profile,google_entities,spam,clean
25,25,Wed Oct 06 13:56:59 +0000 2021,1445749931856237056,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,2,2,6,194,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBBV3MDVQAUcgIF.jpg,,OfficialPLT,"{'google_entities_name': ['Birthday', '@whoisaddison', 'TikTok'], 'google_entities_type': ['EVENT', 'PERSON', 'PERSON']}",1,Happy Birthday to TikTok QUEEN addison rae
28,28,Wed Oct 06 07:00:01 +0000 2021,1445644999907971072,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,2,4,5,116,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA_2du5VkAY6TUc.jpg,,OfficialPLT,"{'google_entities_name': ['Halloween', 'squad outfit', 'BFF', 'https://t.co/MUgoEJ5N2d', 'Halloween 😜 https://t.co/EOppfOt3RA'], 'google_entities_type': ['EVENT', 'OTHER', 'OTHER', 'OTHER', 'OTHER']}",0,Need a Halloween squad outfit?! We have you covered Tag your BFF's who should go matching with you this Halloween
29,29,Tue Oct 05 19:18:02 +0000 2021,1445468341884256000,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,570,52,416,2998,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA9VytYVEAI2KPd.jpg,,OfficialPLT,"{'google_entities_name': ['#JesyNelson', 'NickiMinaj #Boyz https://t.co/fOtsl1cklO'], 'google_entities_type': ['PERSON', 'OTHER']}",3,WE ARE READY jes y nelson nicki min aj boyz
32,32,Tue Oct 05 17:53:18 +0000 2021,1445447015022821120,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,51,34,359,8779,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA9CZJHVQAw2TMN.jpg,,OfficialPLT,"{'google_entities_name': ['Congrats', 'arrival', 'Stacey Solomon', 'baby girl', 'Joe Swash', 'https://t.co/RhYTnq2uAf'], 'google_entities_type': ['OTHER', 'EVENT', 'PERSON', 'PERSON', 'PERSON', 'OTHER']}",0,Congrats to Stacey Solomon &amp; Joe Swash on the arrival of their baby girl
35,35,Mon Oct 04 22:10:25 +0000 2021,1445149332643086080,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,4,24,37,556,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA4zqKfVgBEwSPH.jpg,,OfficialPLT,"{'google_entities_name': ['BUSINESS', 'return', 'CASH', 'Head', 'IG', 'Instagram', 'https://t.co/NNInN2IzKo https://t.co/A0FBhc1wyp', 'emotions', '£1,000', '1,000'], 'google_entities_type': ['OTHER', 'EVENT', 'OTHER', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PRICE', 'NUMBER']}",0,WE BACK IN BUSINESS To celebrate the return of Instagram Were giving away CASH What a DAY of emotions Head to our IG to enter
36,36,Mon Oct 04 21:58:29 +0000 2021,1445146332922932992,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,5,9,43,630,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/tweet_video_thumb/FA4w7Z-UYA8pD6G.jpg,,OfficialPLT,"{'google_entities_name': ['@Twitter', 'people', 'Instagram 🤣 https://t.co/wjeU5V3pzI'], 'google_entities_type': ['PERSON', 'PERSON', 'OTHER']}",0,. watching people go to Instagram
37,37,Mon Oct 04 21:26:49 +0000 2021,1445138360574661120,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,5,17,70,824,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/tweet_video_thumb/FA4prNYXMBE2nak.jpg,,OfficialPLT,"{'google_entities_name': ['selfies', 'LinkedIn', 'https://t.co/lHAQOGGwyw'], 'google_entities_type': ['WORK_OF_ART', 'OTHER', 'OTHER']}",1,So are we like posting our selfies to LinkedIn now!? insta down
38,38,Mon Oct 04 20:56:29 +0000 2021,1445130728547684096,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,2,22,106,1544,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA4ivGxWUAQG8zk.jpg,,OfficialPLT,"{'google_entities_name': ['https://t.co/qNxfYvvnjl', 'one'], 'google_entities_type': ['OTHER', 'NUMBER']}",2,I know which one well be doing squid game insta down
39,39,Mon Oct 04 20:42:25 +0000 2021,1445127187019993088,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,4,12,192,1752,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA4fhEvXoAYI9Vi.jpg,,OfficialPLT,"{'google_entities_name': ['RN', 'platforms', 'https://t.co/nLG78Zrt05', 'nLG78'], 'google_entities_type': ['ORGANIZATION', 'OTHER', 'OTHER', 'PRICE']}",0,Feels RN with most social platforms being down xx
40,40,Mon Oct 04 20:39:28 +0000 2021,1445126447060996096,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,30,46,521,3518,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/tweet_video_thumb/FA4e1wxXIAgtU6c.jpg,,OfficialPLT,"{'google_entities_name': ['Instagram', '&amp', 'Facebook', 'WhatsApp', '#squidgame', 'https://t.co/ifurAsIEFM'], 'google_entities_type': ['OTHER', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER']}",2,"Repeatedly checking Instagram, Facebook &amp; WhatsApp like insta down squid game"
43,43,Mon Oct 04 17:50:04 +0000 2021,1445083814364016896,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,17,8,128,1374,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA34EeoUYAo4enP.jpg,,OfficialPLT,"{'google_entities_name': ['WhatsAppDown #instagramdown https://t.co/6VFDp5SkBR', '6'], 'google_entities_type': ['OTHER', 'NUMBER']}",3,How the day started vs. how its going facebook down what sapp down insta gram down
44,44,Mon Oct 04 16:00:03 +0000 2021,1445056126731555072,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,40,213,1338,1368,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA3e4pWWEAQNnbv.jpg,,OfficialPLT,"{'google_entities_name': ['PLT X', 'Stella Rosa GIVEAWAY', 'more', 'visa card', 'voucher', '@stellarosawines', 'PLT', 'website', 'T&amp', 'C'], 'google_entities_type': ['PERSON', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'ORGANIZATION', 'OTHER', 'OTHER', 'PERSON']}",0,"PLT X Stella Rosa GIVEAWAY Look fine while drinking wine We've teamed up with to give away a $250 PLT voucher, $500 visa card &amp; more! To enter: &amp; RT this tweet Follow us &amp; MUST be + to enter. Full T&amp;C's on our website"
47,47,Mon Oct 04 10:20:02 +0000 2021,1444970559192944896,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,10,16,344,1888,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA2REDZWEAMhob3.jpg,,OfficialPLT,"{'google_entities_name': ['Birthday', 'AMAZING @iamleighanne', 'LittleMix https://t.co/R7ROOI8N86'], 'google_entities_type': ['EVENT', 'OTHER', 'OTHER']}",1,Happy Birthday to the AMAZING little mix
48,48,Mon Oct 04 09:12:27 +0000 2021,1444953553345270016,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,1,6,3,224,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA2BklLXMAUPa9V.jpg,,OfficialPLT,"{'google_entities_name': ['PRETTYLITTLETHING X', 'MAKEUP BAG', 'beauty products', '@the_flat_lay_co', 'PLT Beauty 💗 Perfect', 'rm4'], 'google_entities_type': ['ORGANIZATION', 'CONSUMER_GOOD', 'CONSUMER_GOOD', 'PERSON', 'OTHER', 'PRICE']}",0,PRETTYLITTLETHING X THE FLAT LAY MAKEUP BAG Shop on PLT Beauty Perfect for keeping your beauty products safe
49,49,Mon Oct 04 07:00:03 +0000 2021,1444920231156137984,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,0,0,3,114,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FA1jSTzXMAA65KF.jpg,,OfficialPLT,"{'google_entities_name': ['Molly Mae', 'Picks', 'weekly', 'styles', 'breeze'], 'google_entities_type': ['PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER']}",0,"Molly Mae's Picks With fresh new styles added weekly that have been picked out by Molly herself, this edit is sure to make day-to-night styling a breeze"
55,55,Sun Oct 03 10:00:05 +0000 2021,1444603151621967872,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,0,2,7,185,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAxC5vNXEAY2z17.jpg,,OfficialPLT,"{'google_entities_name': ['STOCK', 'BACK', 'bridesmaid dress', 'stock', '@mollymaehague', 'https://t.co/J7OGurQwr3 https://t.co/rtb2icK1gt'], 'google_entities_type': ['OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']}",0,BACK IN STOCK The bridesmaid dress is back in stock Shop through this link
57,57,Sun Oct 03 07:32:18 +0000 2021,1444565959478596096,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,43,11,139,2408,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAwhFQvXIAEQFtO.jpg,,OfficialPLT,"{'google_entities_name': ['season', 'lands', 'Netflix', 'YOU https://t.co/cSxZvkkCEX', '3'], 'google_entities_type': ['EVENT', 'LOCATION', 'ORGANIZATION', 'OTHER', 'NUMBER']}",1,YOU season lands on Netflix this month you
58,58,Sun Oct 03 07:00:04 +0000 2021,1444557847833021952,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,1,1,2,62,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAwZse0XMAMF9hw.jpg,,OfficialPLT,"{'google_entities_name': ['https://t.co/pNXHeoFgtU https://t.co/cgMFCey084', 'Home', 'HOMEWARE 🏠 Shop'], 'google_entities_type': ['OTHER', 'CONSUMER_GOOD', 'LOCATION']}",0,NEW IN HOMEWARE Shop now through our Home category
63,63,Sat Oct 02 07:00:02 +0000 2021,1444195452413521920,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,1,2,2,65,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FArQGzVXoAYQ1W6.jpg,,OfficialPLT,"{'google_entities_name': ['trend', 'https://t.co/XV1547uiHU https://t.co/l4IF72bIWs', 'PrettyLittleThing ❤️'], 'google_entities_type': ['OTHER', 'OTHER', 'OTHER']}",0,FAUX LEATHER JACKETS stay on trend and shop with PrettyLittleThing
64,64,Fri Oct 01 19:17:53 +0000 2021,1444018750831877888,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,24,11,399,2601,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAovZmXWQAE3I-r.jpg,,OfficialPLT,"{'google_entities_name': ['Jesy Nelson', '@NICKIMINAJ https://t.co/q72PFXQIMr'], 'google_entities_type': ['PERSON', 'OTHER']}",0,So READY for Jesy Nelsons first solo single with
69,69,Fri Oct 01 15:22:34 +0000 2021,1443959530199600896,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,5,3,15,172,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAn5h5SXoAkPRpv.jpg,,OfficialPLT,"{'google_entities_name': ['CoppaFeel', 'support', 'PLT', 'proceeds', 'sales', 'proceeds', 'Breast Cancer Awareness', 'customer', 'AMAZING @CoppaFeelPeople', 'VAT'], 'google_entities_type': ['ORGANIZATION', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'OTHER']}",0,"CoppaFeel! x PLT In support of Breast Cancer Awareness month weve teamed up with the AMAZING PLT will be donating k +  of proceeds from the sales (proceeds shall mean the sale price of the product paid by the customer, less product cost price &amp; VAT)"
71,71,Fri Oct 01 12:00:07 +0000 2021,1443908583662525952,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,8,20,186,1515,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FAnLMOuXsAUN-oA.jpg,,OfficialPLT,"{'google_entities_name': ['Dogs', 'tweet', 'ghosts', 'https://t.co/EpyTSvzZ1Q'], 'google_entities_type': ['OTHER', 'WORK_OF_ART', 'OTHER', 'OTHER']}",0,"Dogs dressed as ghosts... that's it, that's the tweet."
