,x,y,labels,docs
82,0.89275765,1.5088092,11,"How long have Facebook, Instagram and WhatsApp been down? scroll boohoo instead"
83,2.9158328,0.51134855,41,"""When I'm away from you..."" happier than ever Shop everything Billie Eilish here:"
84,2.9806974,-0.04686674,-1,"Happy birthday to the one and only, Leigh-Anne Pinnock"
85,1.9422905,-1.1088337,16,"ICYMI, we handed our latest edit over to you! We gave you the chance to front our next edit You can now shop the ultimate new season edit curated by role model, goal-getter and the next big thing,"
86,3.1771424,2.465046,30,Incoming: new order Shop Now: stephxniegee
87,3.2084458,2.3130848,30,"Yes, you need this bag Shop it here: lawleyrice"
88,1.8536316,0.6499745,26,Todays the day mean girls day
89,2.8819256,2.1637237,31,Planning for next weekend already Shop Now:
90,3.3711765,2.4119256,30,All that glitters Shop Now: kate.coffey
91,3.295969,2.4553132,30,Seeing the sights Shop Now: myriam_uzumaki
92,1.9793173,1.6837002,-1,Me for the whole of October
93,3.2744534,1.9190019,31,Party like it's the s Shop all your Halloween needs now:
94,3.2527018,2.353544,31,boohoo x Shop the collection now:
95,3.3961194,2.333122,31,Close up Shop Essential Denim: p.leesh
96,3.2493646,1.4473708,31,st - Halloween (1978 / )
97,3.3980403,2.422476,30,Boots made for walking Shop Now: hailie.lane
98,1.2766978,1.1539469,40,You have to stay here with your second
99,3.5317712,2.1286457,31,"Treat yourself Shop  off Jackets, Knits &amp; Boots:"
100,3.186746,0.18255037,26,MARY J. BLIGE EMINEM DR. DRE KENDRICK LAMAR SNOOP DOGG Your superbowl halftime performers are here
101,3.286775,2.4252558,30,SELF LOVE CLUB Shop Now: madillynperry
102,2.2411659,-1.3838655,4,Massive congratulations to ENDKEYS the winners of our for those who dare uk Challenge with . &amp;
103,3.0469341,-4.930934,4,Get ready for the final match of the for those who dare uk Challenge partnered with . Kick off is at :30. Who's going to win? rocket league eg x
104,4.118821,-3.0469382,12,"We're proud to be a Partner of cop26. Climate change is the world's greatest challenge, and we'll be championing the need for collaboration, conversation and real action to help tackle it. Together, we can assemble a better future."
105,3.0518258,-4.916692,4,The for those who dare Challenge starts today! You still have until :30 to register your team. Duo's will go head-to-head aiming to make through to the Finals at eg x with some big prizes up for grabs! rocket league
106,1.7813914,-1.129853,45,This October we're launching a new gaming range with and to celebrate we're hosting a v2 Rocket League tournament yes you read that right. Winners split k &amp; get a gaming space makeover. Our qualifying sessions start th of September
107,3.8640704,-2.575134,49,"On the th year anniversary of the refugee convention, we are proud to be partnered with and . Together, we are supporting more refugees back into meaningful employment. Since April, we have offered refugees an -week paid work placement at IKEA"
108,1.7060239,-1.3169185,23,One cup. Soon to be available in Wembley. its coming home
109,4.0682635,-2.5885468,42,"IKEA and have joined forces to support the development of thriving, connected and resilient communities across the UK through the new pilot partnership Places Called Home:"
110,4.261402,-1.9595568,23,"IKEA asks customers who have purchased HEROISK or TALRIKA plates, bowls, or mugs which were sold between August and May to stop using them. For more info, go to"
111,3.3918371,-2.4754417,37,Plus... st orstom ma is back!  of profits will be donated to local LGBT+ charities and initiatives chosen by IKEA stores across the UK and Ireland ensuring funds are directed to those from the LGBT+ community who need them most.
112,1.7158135,-0.91234726,43,"When you want to be a tourist, but the forecast looksforbidding staycation likeSvn and stay cosy and warm wherever you are. Our FLTMAL's been flying off our shelves but not to worry, head over to our Instagram stories for your chance to win one. Where should Svn go next?"
113,4.2537384,-2.723319,12,"This earth day, we are happy to share that our parent company Ingka Group will invest an additional bn to support our transition towards renewable energy, while reducing our climate footprint."
114,4.0698504,-2.9406123,49,"Throughout the pandemic, our co-workers have gone above and beyond. They stepped up to adapt their roles and enhance their skills, continuing to support the business in unprecedented times. Find out more in our FY20 Annual Report:"
115,4.13001,-2.8960881,50,"Over the last financial year, we remained fully committed to our goals to become climate positive and fully circular by . Check out our full range of sustainability achievements from FY20 here:"
116,4.045998,-2.9059324,50,"From working with charity partners to donating products to the frontline, our commitment to local communities has been stronger than ever over the last financial year. Read more in our FY20 Annual Report:"
117,3.515586,-2.6045632,32,"We know life at home has never been more important. So even though some of our stores are closed, you can still shop online for home delivery and our Click &amp; collect service is still available across all stores. More info on services and opening times here"
118,4.1678896,-2.2936344,42,"Whilst its time to say goodbye to our Catalogue after a phenomenal years, that doesnt mean its yesterdays news! Were excited to bring you the Hack-alogue: a manual of the top six ways to re-use your IKEA Catalogue around your home to give it a second life. hack a logue"
119,3.0118604,0.97187585,32,Please click here if you'd like more information
120,4.1294703,-2.025635,50,Did you know that a real IKEA Christmas tree with VINTER star is roughly m tall? Perfect for practising social distancing. Our real trees are also and come with a voucher to spend in the new year. See here for more info and T&amp;C's
121,3.2536657,-2.4031966,32,"We're sorry the current situation is impacting our response time, our Customer Support team are working hard to respond as quickly as possible. Thank you for your understanding and patience. To keep up to date with our latest information, please visit"
122,4.154701,-2.2380843,42,"Coming soon.. BYGGLEK. Pronounced, boog-lee-eck, noun meaning to build and play. ikea uk by gg lek lego"
123,3.9718847,-1.8387767,42,"We've recreated the IKEA meatball without the meat. Made with plant-based ingredients, meatball fans can expect the same delicious taste &amp; texture of the original, with only  of the climate footprint plant balls In Bistros &amp; Swedish Food Markets rd Aug"
124,4.180086,-2.8067007,12,"Enabling people to live a healthier, more sustainable life at home is one of 's key ambitions and we offer affordable products for water and energy efficiency, and solutions for renewable energy and waste sorting:"
125,4.244571,-2.762668,42,"Ambitious and radical ideas for achieving netzero delivery from and , including an essay by Peter Jelkeby, our Country Manager and Chief Sustainability Officer, on how to de-carbonise retail:"
126,3.582456,-2.4812577,32,"We have partnered with the as our emergency charity partner. Were providing packages for different needs - from food, to games &amp; toys for children and comfortproducts such as throws, cushions, bath robes and slippers. To find out more"
127,3.6927521,-2.7455845,-1,"Learnmore about how we're looking after our co-workers, customers and our community"
128,4.0924873,-2.0804338,42,Missing your IKEA meatball fix? Weve created a recipe for you to recreate this delicious dish in the comfort of your own home ikea meatballs
129,3.4822555,-2.6649199,32,"Now more than ever, it's important that we come together as a community. That's why we've opened our Tottenham, Croydon, Greenwich &amp; Manchester Swedish Food Markets, for essential workers, elderly, vulnerable &amp; carers to access essentials. See store info"
130,3.2956984,-2.4188807,32,"/3 We will continue to monitor the evolving situation &amp; apologise for any inconvenience caused. To read a letter from our CEO, please follow this link ."
131,2.015365,-1.9793414,13,Make room for a big and cuddly guest this Giant Panda Day with the URSKOG cushion and say Hooray! to the Wonderful Everyday. wonderful everyday giant panda day
132,1.9003572,-1.990548,13,Let your little ones fill up the SMASKA lunch box with their favourite treats for Pack Your Lunch Day and say Hooray! to the Wonderful Everyday. wonderful everyday pack your lunch day
133,1.7114595,-2.0567622,26,"In case you were looking for an excuse to eat meatballs, its officially Meatballs Day! So get munching and say Hooray! to the Wonderful Everyday. wonderful everyday national meatball day meatball day"
134,3.9959476,-2.5225866,-1,"At IKEA, equality sits at the heart of everything we do. This International Women's Day, we are celebrating our everyday heroes - co-workers who champion gender equality by creating a supportive, empowered and diverse workplace ikea everyday hero iwd2020 each for equal"
135,1.8638445,-2.014989,13,Whisk yourself away for World Book Day by curling up with the DJUNGELSKOG fairy tale book and say Hooray! to the Wonderful Everyday. wonderful everyday world book day
136,1.8124735,-2.066657,26,It's National Toast Day so spread a little joy with the BLBR blueberry jam and say Hooray! to the Wonderful Everyday. national toast day wonderful everyday
137,3.9394953,-2.0567856,-1,"Start any weekday the right way with a piece breakfast for , available until the th March. Great for midweek mornings, and your wallet. ikea breakfast"
138,1.7303058,-2.0150993,13,Flip it your way and smother it in your favourite topping this Pancake Day with the SKNKA pancake pan and say Hooray! to the Wonderful Everyday. pancake day wonderful everyday
139,1.7543952,-2.0852568,13,Its time to start rolling your pastry into the VARDAGEN pie dish for Cherry Pie Day so you can tuck in and say Hooray! to the Wonderful Everyday. wonderful everyday cherry pie day
140,4.2033124,-2.0472531,23,"Keeping little ones busy this half term should be a lot easier with IKEA Family members getting  off our MLA range. Everything they need to draw, scribble and paint, bringing their imagination to life. Offer valid /02/20 - /03/20, while stocks last"
141,1.7992494,-1.5634792,43,You don't need a special day to celebrate love. There's love in all our products wonderful everyday valentines day
142,1.9741416,-1.9082943,13,Turn the SYMFONISK WiFi shelf speaker up loud and have a boogie because its world radio day and time to say Hooray! to the wonderful everyday
143,1.2927142,1.6891702,-1,When youre hitting the oscars red carpet during storm ciara
144,1.3371533,1.607514,-1,Because you never know when the lights are going to go down oscars
145,1.5582999,-1.6354283,26,"Sorry you missed out . Fingers crossed for next year. Until then, heres a DIY Oscar. oscars"
146,1.9655602,-1.9881767,13,Celebrate Read a Book in the Bathtub Day by propping your book up on the HAVERN bath rack and say Hooray! to the wonderful everyday
147,4.161213,-2.5880158,50,"Happy st birthday, IKEA Greenwich! Weve had a fantastic year bringing sustainability &amp; home furnishing inspiration to the people of South East London. To celebrate in style, the store won Sustainable Building/Infrastructure Project of the year at the Sustainability Awards"
148,4.187622,-1.7893447,23,Clean out the winter cobwebs with our new borst ad collection. A set of home accessories that bring back rustic style and traditional techniques to your spring cleaning. IKEA Family members get  off until /03/20.
149,1.8174453,-2.0141988,13,Get peeling and load up your SOCKERKAKA baking mould for Carrot Cake Day and say Hooray! to the wonderful everyday
150,4.1106195,-1.9956212,50,"If you purchased a real Christmas tree from IKEA, remember that you have until the rd of Feb to spend your voucher wonderful everyday"
151,4.021904,-1.9911239,-1,"A breakfast offer thats good enough to eat . Get a item breakfast for only , available Mon - Fri until th March ikea breakfast Dont miss out on a free tea or coffee either, with an IKEA Family card you can get a hot drink on the house"
152,4.0004835,-2.2255979,42,Get you a store who can do it all... From one icon to another dolly parton challenge ikea uk
153,4.216253,-2.192722,50,"A new small format IKEA store will open in Hammersmith in , making our home furnishing range easier to buy than ever before, after acquire Kings Mall Shopping Centre. Read more here"
154,4.2937193,-2.7730541,12,"As we write in , IKEA is committed to becoming fully circular by , so we welcome the measures to tackle the climate crisis in todays queens speech. But the UK must take the opportunity to translate bold ambitions for netzero by into a clear policy plan."
155,4.232445,-2.499596,42,"Our Country Retail Manager, Peter Jelkeby, talks about his new title of Chief Sustainability Officer and how we are reshaping IKEA to become a fully circular business by , at the swedish british summit 19"
156,4.127979,-2.8758218,12,"Were working to become climate positive &amp; fully circular by , but also need the Government to show leadership. Were pleased will screen the first climate &amp; nature election debate &amp; hope all Parties join to set out their climate policies climate nature debate"
157,3.674187,-2.5795364,-1,This week is living wage week! At we believe that paying a real Living Wage and London Living Wage is the right thing to do for our co-workers and our business. living wage
158,4.119342,-2.7676175,49,"Our co-workers are the foundation of the IKEA business. As we undertake the biggest transformation in our history, in FY19 we continued investing in our co-workers development and championed diversity and inclusion"
159,4.0911036,-2.8592277,-1,"Our Annual Summary highlights the progress weve made in FY19 to become fully circular by , removing straws and other single-use plastic items and opening our most sustainable store at Greenwich. circular economy"
160,4.0211124,-2.9651966,-1,"Today we publish our FY19 results, with strong sales growth of , despite a challenging retail climate. This is driven by online and new shop formats, to become more accessible, convenient and people and planet positive. Read the report here:"
161,1.4091076,-1.8794564,-1,"Were going cold turkey this year, by launching our first ever meat-free Christmas! On the menu, well have a delicious veggie Brie and Cranberry Tart, vegan Root Vegetable Tart Tatin and yummy vegan mince pies meat free vegan"
162,1.0142988,1.1261399,41,Not to make a meal of it but it seems...
163,4.288131,-1.9770899,-1,"PRODUCT RECALL: IKEA is recalling the MATVR childrens bibs, red and blue two-pack (504.269.20) due to reports of the button on the bibs coming loose and therefore, presenting a risk of choking. For more info, go to"
164,4.270915,-2.811007,12,"We're accelerating investment in renewable energy to exceed a goal to generate more renewable energy than we consume in our operations. Our ambition is to be climate positive, reducing more greenhouse gas emissions than the IKEA value chain emits"
165,3.2096653,-0.97254837,14,"Hej , its time to put your feet up. Youve won a VALLENTUNA sofa for your ( SOFFA SANS symbol."
166,3.251347,-1.0602762,14,"Annnnnnnnnd there it is. A perfect example of a SOFFA SANS &amp; symbol. Congrats , a VALLENTUNA sofa is all yours."
167,3.2382371,-1.0285591,14,"Go ! You didnt just semi-own it, you fully owned the semicolon SOFFA SANS symbol. Youve won a -seater VALLENTUNA sofa."
168,3.2389853,-1.037706,14,"Congrats , you  nailed it with your SOFFA SANS symbol. Youve won a -seater VALLENTUNA sofa. Of course, if you want to add extra modules to it yourself, you could always recreate your  sofa for real"
169,3.178806,-1.0119332,14,", youve won a sofa for your hash tag symbol Congrats. Dont forget you can add more modules to your prize further down the road if you want to change how it fits your home."
170,3.6439416,-2.5929537,49,"With a vision to create a better everyday life for the many people, and have been working together to create new opportunities for refugees to help rebuild their lives. Find out more about the work weve been doing here world refugee day"
171,3.7700849,-2.5283825,49,"Over million people have been forced to leave their homes to find safety from war, violence or persecution. To mark world refugee day, &amp; are celebrating the courage, strength &amp; resilience of refugees by showcasing their inspiring stories."
172,3.898845,-2.578388,49,"Today is world refugee day and were proud to celebrate our partnership with to help refugees from around the world get back into work. ikea greenwich Home Decorations co-worker, Chahla, is a great example of this. Read her story here:"
173,3.9316409,-2.5263638,49,"Today is world refugee day and were proud to celebrate our partnership with to help refugees from around the world get back into work. ikea greenwich Home Decorations co-worker, Chahla, is a great example of this. Read her story here:"
174,4.20487,-2.3451772,42,Attention foodies: IKEA is collaborating with world-renowned culinary entrepreneur . Together well explore how to create a modern taste of Sweden that takes IKEA Food to the next level. ikeaddd2019 claus meyer ikea food
175,3.287322,-0.96032006,43,"Meet MUSSELBLOMMA, a new collection made of plastic recovered from fishing nets in the Mediterranean. Were taking action to remove plastic from the ocean and prevent it from getting there in the first place. ikeaddd2019 ocean plastic"
176,3.900471,-3.1597233,-1,"Meet our new robot, ROGNAN. Forget compromise in a small space. ROGNAN transforms small spaces into comfortable, multifunctional homes. Population in cities is growing and living spaces are shrinking. ROGNAN is designed for this new reality. ikeaddd2019"
177,3.9325073,-2.776407,50,"We are proud to announce that we have won a silver medal for the 'Gardening Will Save the World' installation at the Chelsea Flower Show, in collaboration with , as we explore the future of urban farming rhs chelsea"
178,3.5563543,-2.5514007,37,"Were proud to fly the rainbow flag across all our UK stores. Equality is a human right and as a humanistic and values driven company, we'll ensure our LGBT+ co-workers have the right to be themselves, be treated fairly &amp; given equal opportunities idaho tb"
179,3.2258418,-2.4903452,37,"Today were celebrating idaho tb. Not only is the rainbow flag flying proudly from all UK stores, but you can also show your support with this limited edition rainbow bag. Sales of the bag will help us contribute to local Pride events &amp; LGBT+ initiatives."
180,3.60022,-2.5965965,32,"Were delighted to announce that we are teaming up with as our national charity partner in support of vulnerable children &amp; young people. We believe every child deserves a place to call home, a healthy start in life &amp; a positive future"
181,4.2032394,-2.4800172,42,"Were pleased to announce Peter Jelkeby as the new Country Retail Manager for IKEA UK &amp; Ireland. Commenting on his position, Peter said: Im delighted to return to IKEA UK &amp; Ireland at a key point in our history, as we evolve our business to secure IKEAs continued success."
182,4.2163787,-2.7617137,-1,"We fully support recommendations for the UK to achieve net zero emissions by . As a business we aim to become climate positive by , while helping customers to live more sustainable lives at home through our live lago m programme netzero uk"
183,4.231652,-1.9762483,-1,"PRODUCT SAFETY ALERT: IKEA alerts customers who have purchased a SUNDVIK changing table/chest to ensure they use the safety locking fittings provided at all times. If they have been misplaced, additional kits can be ordered free of charge. More info:"
184,4.244247,-1.9614613,-1,"PRODUCT RECALL: IKEA is recalling the STSAK SKUMTOPP soft marshmallows covered in chocolate flavoured coating (180g) due to undeclared milk on the product label. For more info, go to We apologise for any inconvenience caused."
185,3.8851447,-2.6239145,37,"Today we celebrate iwd2019 In the UK and Ireland, we recognise the importance of a diverse and inclusive workplace and are proud to say that we have achieved a /50 gender split across our company! balance for better"
186,1.6788136,-1.1884463,43,"Calling all our flat-pack fans - why not try our VRKNSLA chocolate bunny as a sweet alternative to Easter eggs this year? Even better, its made using only certified cacao from sustainable sources. How fast can you put yours together? *participating stores only."
187,3.9487925,-1.8113698,-1,"Hej , we hope you used your IKEA FAMILY card to get a free coffee with those meatballs."
188,4.032642,-2.8177907,-1,"So proud to have won the edieawards19 CSR Marketing Campaign of the Year Award for our live lago m project. years supporting our customers &amp; co-workers with products, workshops and advice to help them lead healthier &amp; more responsible lives without sacrificing what they love."
189,4.189266,-2.4363608,50,"IKEA Greenwich is our most sustainable store yet and getting your products home is now as easy as riding a bike literally. With the help of , your goods will be delivered to your door safely and sustainably. ikea greenwich"
190,4.115188,-2.2730305,50,"Were almost ready. IKEA Greenwich opens on Feb th. Best of all are the great links to get to the store. With around buses an hour that stop right outside, getting there really is a doddle. So hop on, sit back and relax. ikea greenwich"
191,3.8261507,-2.9465754,17,"Some fantastic insights into how renters will be living in shared at The Future of Renting event this evening. Designers, thought leaders and brands need to take an active role in adapting home designs that can accommodate co-living future of renting"
192,2.446766,1.2616888,-1,When they say let's go to Primark this afternoon
193,2.3390002,4.4621053,8,Take your pick of cosy knits Knitwear from /17
194,3.662398,0.7122111,8,Trying to decide which fluffy PJs to buy in our nightwear section
195,2.6794665,4.4476833,8,"TY for the chic weekend inspo Search ""hey_itshope"" on insta Blazer /30, Skirt /10"
196,3.45171,-0.15217699,16,How adorable Mickey Mouse Hanging Plant
197,2.550199,4.1335826,31,"Planning weekend outfits already, wbu? Prices from /10"
198,3.8360934,-0.5133695,23,NEWSFLASH: Functionality got cool Discover our range of practical yet fashionable outdoor classics for the whole family
199,2.3335147,0.61215425,22,Wednesday is off to a good start What is your favourite style of PJs?
200,2.4773843,4.634287,8,The ultimate A/W accessory: our quilted trolley bag Trolley /40
201,2.5263994,1.862914,31,Mood for the rest of the month:
202,2.330984,4.6661205,8,Fleece shirts All A/W outfits Fleece shirts /13 each
203,2.1945553,4.294399,8,"Get your week off to a matchy-matchy start with our twinning PJs for you and your little one Ladies PJ Set /12, Kids PJ Set /10"
204,2.5183074,4.5796447,8,"Category is: Vibrancy Dress /16 , Shirt /15, Skirt /13"
205,3.5303762,1.3026321,23,Tell us you are obsessed with autumnal adornments without actually telling us We'll go first
206,3.2698264,0.95923,10,Autumn adornments in our Birmingham store What is your favourite Primark department?
207,3.1879435,0.8714849,10,Another seamfree set appreciation post What is your fave Primark product?
208,1.3362098,0.06303662,45,Something EXCITING is coming very soon ... Got any guesses? primark
209,2.5718203,4.62536,8,Denim doesnt have to mean just jeans Denim Smock Dress /19
210,1.9180479,-0.6818062,43,"See ya, BBQs and picnics Its the real start of dinner party season &amp; ambient tablescaping is high on our agenda Prices start from /2.50"
211,3.5755494,-0.35336408,16,What do you get when you combine everyones favourite mouse with varsity-style inspo? Our classic Mickey Mouse collection! Check it out now
212,2.591963,4.294692,8,Our bags of choice this week Prices from /14
213,1.7225103,0.37669057,13,Snuddie + avocados = A great Sunday morning!
214,2.4429662,4.4674964,8,"Feeling snug in this snoopy set Hoodie /14, Bottoms /12"
215,2.2684288,1.2082748,54,Who is having a chilled Friday night? Let us know your plans in the replies
216,3.5925083,1.4561453,23,Spooky season ready? Say hello to our autumnal home accessories in-store now
217,2.2099295,4.3438425,8,Tuesday comfort activated PJ sets /10
218,2.488231,4.443228,8,"Kicking the week off with a chic oo td Blazer /30, Skirt /10"
219,3.4742074,-2.2790232,31,More sustainable choices. Affordable for all. This is how change really looks. Find out more in the link:
220,2.234099,4.276987,8,"From bump to baby, our soft maternity PJs will keep you cosy and comfy Prices from /10"
221,2.153293,3.2436752,8,But first coffee... Bambi Glass Tumbler /4.50
222,2.7546482,4.4246573,8,"Ok but this look is everything Search 'sharayethomas' on insta Bag /10, Trousers /21"
223,2.1879237,4.2678924,8,Tonight's plan: Be cosy in our new snoopy PJs Set /12
224,2.312886,-0.15875123,-1,"This is your Monday reminder: sometimes you need to take a moment to reset and refocus, and that's ok self care september"
225,2.8500655,4.1590395,8,GLOWING Search '' on insta Prices from /4
226,3.2135992,0.99322647,10,Mood in your local Primark's Harry Potter section
227,2.4136987,0.35055357,43,A Saturday mood Sometimes it's a stay in bed with a book and a facemask kinda day! Anyone else? self care september
228,2.492096,4.4546447,8,"Say 'Aloha' to the weekend! Paddle Brush /4, Compact Mirror /3"
229,2.6646464,4.0970182,8,Thursday comfies ft. Minnie Prices from /12
230,2.648496,4.2334476,8,"Our seamfree sets, IYKYK Seamfree sets /6"
231,2.6748261,4.1760383,8,OMG Tag a friend who needs to know about this collection coming soon! Prices from /15
232,2.354261,-0.82637966,23,"Comfy, cosy things are coming! Our full collection of Snuddies are coming v soon, but you can find this one in-store now!"
233,1.2245297,0.8194902,-1,"&amp; bump That's it, that's the tweet"
